model,horizon,n_trials,best_value,hidden_size,dropout,lr,batch_size,input_size,scaler,early_stop_patience,encoder_n_layers,decoder_layers,decoder_hidden_size,n_head,attn_dropout,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,min_child_weight,gamma,reg_alpha,reg_lambda
lstm,10d,150,0.06875495074460339,512.0,0.41212090597596474,1.5619385104285552e-05,64.0,12.0,standard,31.0,2.0,3.0,512.0,,,,,,,,,,,,
tft,10d,150,0.05511231327134285,256.0,0.4509670405993762,6.220208444336515e-05,128.0,12.0,robust,44.0,,,,2.0,0.19824125462633985,,,,,,,,,,
xgb,10d,150,0.11754305880157319,,,,,,,,,,,,,1800.0,3.0,0.0022721719206708984,0.4364278457890147,0.8307423080636231,0.6665683791139789,5.0,0.003605821539225562,0.0005187196311221945,0.058555107305172556
lstm,15d,150,0.06195892066272908,96.0,0.10477258652933441,0.009874000181959034,128.0,72.0,robust,39.0,2.0,3.0,64.0,,,,,,,,,,,,
tft,15d,150,0.04963866604812517,128.0,0.49144672188598065,0.00021624778001206406,128.0,48.0,standard,33.0,,,,1.0,0.060786759204500704,,,,,,,,,,
xgb,15d,150,0.10744712156679086,,,,,,,,,,,,,1200.0,4.0,0.0029173640083691417,0.7606434246705439,0.4123131859130432,0.4123650032722612,8.0,0.01144531901634887,0.0042300755869743405,0.26677140122796333
lstm,3d,150,0.07391831335009255,512.0,0.3067677249072879,0.004176738970323908,32.0,96.0,robust,41.0,3.0,3.0,32.0,,,,,,,,,,,,
tft,3d,150,0.05151194405098082,128.0,0.19486890146148741,0.0009331553184513598,128.0,120.0,standard,39.0,,,,1.0,0.4450237727046637,,,,,,,,,,
xgb,3d,150,0.10783904704705759,,,,,,,,,,,,,1150.0,3.0,0.003961535964328055,0.719649222675536,0.6281196358578118,0.6236399162933217,11.0,0.018988621628968718,0.0007653599711433198,0.3386547516961654
