model,horizon,param,importance
lstm,10d,input_size,0.1997
lstm,10d,lr,0.1845
lstm,10d,scaler,0.1675
lstm,10d,early_stop_patience,0.1149
lstm,10d,hidden_size,0.0978
lstm,10d,dropout,0.0857
lstm,10d,decoder_hidden_size,0.0572
lstm,10d,encoder_n_layers,0.0341
lstm,10d,decoder_layers,0.0331
lstm,10d,batch_size,0.0255
lstm,15d,scaler,0.7076
lstm,15d,hidden_size,0.0645
lstm,15d,input_size,0.0624
lstm,15d,lr,0.0367
lstm,15d,decoder_hidden_size,0.0356
lstm,15d,early_stop_patience,0.0346
lstm,15d,dropout,0.0269
lstm,15d,encoder_n_layers,0.0158
lstm,15d,batch_size,0.0125
lstm,15d,decoder_layers,0.0034
lstm,3d,scaler,0.4426
lstm,3d,lr,0.1362
lstm,3d,input_size,0.1257
lstm,3d,dropout,0.0756
lstm,3d,decoder_hidden_size,0.0675
lstm,3d,hidden_size,0.0639
lstm,3d,early_stop_patience,0.0273
lstm,3d,batch_size,0.0269
lstm,3d,decoder_layers,0.021
lstm,3d,encoder_n_layers,0.0133
tft,10d,hidden_size,0.4513
tft,10d,n_head,0.1293
tft,10d,lr,0.1139
tft,10d,dropout,0.0956
tft,10d,input_size,0.0912
tft,10d,batch_size,0.0441
tft,10d,attn_dropout,0.0342
tft,10d,early_stop_patience,0.0224
tft,10d,scaler,0.018
tft,15d,scaler,0.3569
tft,15d,lr,0.1563
tft,15d,batch_size,0.1299
tft,15d,dropout,0.0883
tft,15d,n_head,0.0761
tft,15d,hidden_size,0.0553
tft,15d,attn_dropout,0.0524
tft,15d,input_size,0.0524
tft,15d,early_stop_patience,0.0324
tft,3d,dropout,0.2551
tft,3d,lr,0.2518
tft,3d,input_size,0.1105
tft,3d,hidden_size,0.0861
tft,3d,batch_size,0.0836
tft,3d,attn_dropout,0.0803
tft,3d,scaler,0.0593
tft,3d,early_stop_patience,0.0388
tft,3d,n_head,0.0345
xgb,10d,learning_rate,0.2957
xgb,10d,n_estimators,0.2056
xgb,10d,subsample,0.1709
xgb,10d,colsample_bytree,0.1078
xgb,10d,max_depth,0.094
xgb,10d,min_child_weight,0.0476
xgb,10d,colsample_bylevel,0.027
xgb,10d,gamma,0.0212
xgb,10d,reg_lambda,0.0153
xgb,10d,reg_alpha,0.0147
xgb,15d,learning_rate,0.2754
xgb,15d,colsample_bylevel,0.2421
xgb,15d,max_depth,0.2391
xgb,15d,subsample,0.0643
xgb,15d,n_estimators,0.0599
xgb,15d,min_child_weight,0.0532
xgb,15d,colsample_bytree,0.0504
xgb,15d,reg_alpha,0.0077
xgb,15d,reg_lambda,0.0044
xgb,15d,gamma,0.0035
xgb,3d,learning_rate,0.4508
xgb,3d,max_depth,0.1853
xgb,3d,n_estimators,0.1842
xgb,3d,colsample_bytree,0.1097
xgb,3d,subsample,0.0313
xgb,3d,colsample_bylevel,0.0185
xgb,3d,min_child_weight,0.0145
xgb,3d,gamma,0.0035
xgb,3d,reg_lambda,0.0018
xgb,3d,reg_alpha,0.0003
