db,campaign,model,horizon,study,n_trials,best_value
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260618_091458,tft,3d,cy_capped_backup_20260618_091458__tft__3d,70,0.029697263231621626
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260618_091458,lstm,3d,cy_capped_backup_20260618_091458__lstm__3d,70,0.04357622521187695
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260618_091458,xgb,3d,cy_capped_backup_20260618_091458__xgb__3d,70,0.10784651189492557
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260618_091458,tft,10d,cy_capped_backup_20260618_091458__tft__10d,70,0.05281727303949775
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260618_091458,lstm,10d,cy_capped_backup_20260618_091458__lstm__10d,70,0.0683051753008569
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260618_091458,xgb,10d,cy_capped_backup_20260618_091458__xgb__10d,70,0.11670689388778067
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260618_091458,tft,15d,cy_capped_backup_20260618_091458__tft__15d,70,0.048289684232841135
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260618_091458,lstm,15d,cy_capped_backup_20260618_091458__lstm__15d,70,0.06275301107115049
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260618_091458,xgb,15d,cy_capped_backup_20260618_091458__xgb__15d,70,0.107749028848529
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260618_185024,tft,3d,alldata_capped_backup_20260618_185024__tft__3d,70,0.1338154299360494
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260618_185024,lstm,3d,alldata_capped_backup_20260618_185024__lstm__3d,70,0.16898420140823794
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260618_185024,xgb,3d,alldata_capped_backup_20260618_185024__xgb__3d,70,0.13828219988001172
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260618_185024,tft,10d,alldata_capped_backup_20260618_185024__tft__10d,70,0.17371538618954135
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260618_185024,lstm,10d,alldata_capped_backup_20260618_185024__lstm__10d,70,0.18792207087743423
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260618_185024,xgb,10d,alldata_capped_backup_20260618_185024__xgb__10d,70,0.15884204319361944
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260618_185024,tft,15d,alldata_capped_backup_20260618_185024__tft__15d,70,0.18505695718993015
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260618_185024,lstm,15d,alldata_capped_backup_20260618_185024__lstm__15d,70,0.2041783505196832
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260618_185024,xgb,15d,alldata_capped_backup_20260618_185024__xgb__15d,70,0.1586562055036488
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260623_115630,tft,3d,cy_capped_backup_20260623_115630__tft__3d,150,0.05151194405098082
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260623_115630,lstm,3d,cy_capped_backup_20260623_115630__lstm__3d,150,0.07391831335009255
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260623_115630,xgb,3d,cy_capped_backup_20260623_115630__xgb__3d,150,0.10783904704705759
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260623_115630,tft,10d,cy_capped_backup_20260623_115630__tft__10d,150,0.05511231327134285
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260623_115630,lstm,10d,cy_capped_backup_20260623_115630__lstm__10d,150,0.06875495074460339
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260623_115630,xgb,10d,cy_capped_backup_20260623_115630__xgb__10d,150,0.11754305880157319
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260623_115630,tft,15d,cy_capped_backup_20260623_115630__tft__15d,150,0.04963866604812517
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260623_115630,lstm,15d,cy_capped_backup_20260623_115630__lstm__15d,150,0.06195892066272908
new_training_pipeline_server_20260626_FINAL,cy_capped_backup_20260623_115630,xgb,15d,cy_capped_backup_20260623_115630__xgb__15d,150,0.10744712156679086
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260624_145031,tft,3d,alldata_capped_backup_20260624_145031__tft__3d,150,0.15899747104753997
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260624_145031,lstm,3d,alldata_capped_backup_20260624_145031__lstm__3d,150,0.18809976297188447
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260624_145031,xgb,3d,alldata_capped_backup_20260624_145031__xgb__3d,150,0.13754167784448942
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260624_145031,tft,10d,alldata_capped_backup_20260624_145031__tft__10d,150,0.18900663687985286
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260624_145031,lstm,10d,alldata_capped_backup_20260624_145031__lstm__10d,150,0.20363971989327453
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260624_145031,xgb,10d,alldata_capped_backup_20260624_145031__xgb__10d,150,0.15831283555474215
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260624_145031,tft,15d,alldata_capped_backup_20260624_145031__tft__15d,150,0.2022775212457083
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260624_145031,lstm,15d,alldata_capped_backup_20260624_145031__lstm__15d,150,0.20771064080098497
new_training_pipeline_server_20260626_FINAL,alldata_capped_backup_20260624_145031,xgb,15d,alldata_capped_backup_20260624_145031__xgb__15d,150,0.15833170694386198
