webcam_slug,n_pairs,mean_abs_err_dedicated,mean_abs_err_truncated,delta_mean,DM_stat,DM_p,Wilcoxon_stat,Wilcoxon_p
andratx,1686,0.1456109134045077,0.14134045077105575,-0.00427046263345196,-0.29534452990283944,0.7677307028682363,286957.5,0.006829532978328656
cala-fornells,1682,6.426218787158144,7.2358501783590965,0.8096313912009521,5.4848803824928565,4.137492859435099e-08,503114.5,5.728822525929632e-22
cala-fornells_1,1680,8.058690476190476,8.574642857142859,0.5159523809523829,2.7362280730186024,0.006214793563741106,606244.5,1.0473467380778671e-05
cala-fornells_2,1686,19.92508896797153,23.306287069988137,3.381198102016608,2.760787021771517,0.005766226562001542,492469.0,1.9387737274398053e-26
cala-portals-vells,1686,9.36126927639383,10.173072360616844,0.8118030842230137,1.8151650098764505,0.06949855510041592,625894.5,9.119254083738297e-05
cala-vedella,1670,28.827604790419166,28.52814371257485,-0.29946107784431675,-0.38395129409767825,0.701014547402838,628243.5,0.002310321034202462
cala-vedella_1,1687,1.530053349140486,1.663011262596325,0.13295791345583896,2.3867940269020305,0.016996010521948435,536817.0,2.764265274398602e-09
camp-de-mar_1,189,38.58359788359788,49.664021164021165,11.080423280423283,,,5996.5,7.53933779482384e-05
can-pastilla-bonaona,1684,36.125,34.65956057007126,-1.4654394299287432,-0.8271623598772689,0.40814504273260255,602924.0,2.1703660543764703e-07
can-pastilla_mallorca-pipeline,1594,30.597553324968633,25.597302383939773,-5.00025094102886,-3.8307836889037,0.00012773576523783525,447179.5,9.309523223458037e-24
es-pujols,1678,8.41507747318236,8.12818831942789,-0.2868891537544691,-0.9359503226165943,0.3492987657401796,661998.5,0.18820307832806038
golf-camp-de-mar,1681,24.287150505651397,23.524747174301016,-0.7624033313503809,-1.0568942973967532,0.29055983133940533,580162.5,3.9467952429417785e-09
marina,1688,1.754798578199052,1.8248222748815166,0.07002369668246455,3.4168698853137216,0.0006334554706395323,603418.5,0.03358649008920179
muro-sector-i,455,18.091208791208793,19.389010989010995,1.297802197802202,0.9903004227267712,0.32202730002706326,40961.5,0.00010145261739874213
platja-de-peguera_1,1686,61.31079478054567,65.173546856465,3.8627520759193246,0.7326680583858174,0.4637609101570215,637400.0,0.00026655953080776437
platja-marina,1689,2.265956187092954,2.342155121373594,0.07619893428063973,1.0647760807453126,0.2869772717494179,630152.0,0.0696278890875658
playa-de-magaluf,1685,19.69673590504451,20.036083086053413,0.33934718100890393,0.35032948534976216,0.7260914395165003,697914.0,0.9098977588856216
playa-de-palmira,1686,26.94335705812574,27.605516014234876,0.6621589561091348,0.5886590621297821,0.5560900051022197,654690.5,0.009849399819710874
playa-de-palmira_1,1686,26.531553973902728,23.48250296559905,-3.049051008303678,-2.454258936681794,0.014117528407261881,500676.0,1.5113369584862347e-24
playa-de-ses-penyes-roges,1686,26.799466192170815,25.044543297746145,-1.75492289442467,-0.9779254904674761,0.3281111768308047,598724.0,6.840294887377283e-08
playa-de-tora,1686,31.12111506524318,30.936951364175567,-0.18416370106761448,-0.08690136896525003,0.9307499113618123,656875.5,0.008513139433465069
playa-de-tora_1,1686,39.88013048635824,42.12793594306051,2.2478054567022667,1.2442363815807571,0.21341257746888664,615162.5,3.4012411626872747e-06
port,1689,3.319715808170515,3.085968028419183,-0.2337477797513321,-1.6335393943028897,0.10235560243224051,536643.5,4.3477881688994103e-13
port-dandratx,1686,9.087959667852907,11.130723606168447,2.04276393831554,3.0009878831156085,0.0026910527307346666,490310.5,2.4576752754340115e-26
port-dandratx-la-mola_1,1686,18.554389086595492,18.368920521945434,-0.18546856465005845,-0.3791981817094182,0.7045407017106831,688537.5,0.475947031591338
port-dandratx-port_1,1686,6.1230130486358245,7.036002372479241,0.9129893238434166,1.9141320318871917,0.05560328759226563,561741.0,6.932520365997166e-12
punta-de-sa-galera,1686,3.8666666666666667,3.5320284697508897,-0.334638196915777,-1.9736232021095297,0.048424603480569095,561589.5,5.896933337466856e-08
soller-santa-catalina-nord,1689,0.31616341030195383,0.27246891651865013,-0.0436944937833037,-2.7164462821381106,0.006598690249748129,303734.0,2.4741037081496032e-21
son-serra-de-marina,1690,15.558994082840238,17.11360946745562,1.5546153846153832,1.4075493403880779,0.15926455727507394,587618.5,1.6646400534505365e-09
__POOLED__,46048,17.352619006254344,17.56090601111883,0.2082870048644878,0.7425726176181302,0.457740471749013,492393451.5,0.07907502393539081
