model,horizon_days,protocol,seed,n_rows,n_beaches,relMAE_all,relMAE_season,relMAE_summer,mae_users,matched
TFT,3,S4,-1,1764,13,0.16626464552059964,0.16626464552059964,,17.55250704856146,True
LSTM,3,S4,-1,1764,13,0.17848781108341422,0.17848781108341422,,20.008700294018873,True
XGB,3,S4,-1,1764,13,0.21837975402171253,0.21837975402171253,,23.943299620059612,True
TFT,10,S4,-1,4320,12,0.2002817550332596,0.2002817550332596,,20.610191324573975,True
LSTM,10,S4,-1,4320,12,0.3052241839752415,0.3052241839752415,,33.693757349914975,True
XGB,10,S4,-1,4320,12,0.2673410657626108,0.2673410657626108,,28.852436765918025,True
TFT,15,S4,-1,6300,12,0.1818229624976823,0.1818229624976823,,18.87553432260241,True
LSTM,15,S4,-1,6300,12,0.18518464316905944,0.18518464316905944,,19.450755421471975,True
XGB,15,S4,-1,6300,12,0.2785254355602033,0.2785254355602033,,28.98863765413799,True
